langgraph>=0.6,<0.7
langgraph-checkpoint-sqlite>=2,<3
langchain-core>=0.3,<0.4
yfinance>=1.2,<2
requests>=2,<3
python-dotenv>=1.0,<2
streamlit>=1.38,<2
ppi-client

# MCP server para Hermes Agent (ver mcp_server/server.py y README).
# Requiere Python 3.10+ — el resto de este requirements.txt corre con
# Python 3.9, así que este proyecto usa un venv separado para el MCP
# server: `python3.11 -m venv .venv-mcp && .venv-mcp/bin/pip install -r
# requirements.txt`.
mcp>=2,<3

# Servidor HTTP/SSE del MCP server (ver mcp_server/http_server.py), para
# instancias de Hermes que solo aceptan MCP servers remotos por URL.
uvicorn>=0.30,<1
starlette>=0.38,<1

# Recomendado: instalá el proveedor de LLM que vayas a usar (y su API key en .env).
# Los agentes especialistas (research/portafolio/ejecución) usan tool-calling
# real de LangChain — sin ninguno de los dos, el demo cae a un modo offline:
# tools reales (Yahoo Finance, portafolio, compra simulada) + triage y
# respuestas por reglas, sin generación de lenguaje natural con LLM.
# langchain-openai>=0.2
# langchain-anthropic>=0.3
